RJ45,C386757,5
LED,C84260,1
Fuse 3A,C99550,1
Screw Terminal,C8465,1
Botones,C92584,2
ESP32-S3-WROOM-1-N4,C2913197,1
100nf,C38141,1
4.7uf,C1779,2
10K,C17414,1
1uf,C28323,1
female headers 1x04,C124413,1
0 oohm,C17477,1
USB Micro B,C2931352,
